deal_id,date,year,deal_type,acquirer_or_investors,target_or_company,value_usd_bn,description,is_megadeal,is_real_headline
D0001,2009-03-09,2009,M&A,Pfizer,Wyeth,68.0,Pfizer-Wyeth megamerger,1,1
D0041,2010-01-08,2010,Series_B,F-Prime Capital,Oncgen OS,0.403,Series_B 2010,0,0
D0036,2010-01-12,2010,IPO,Public markets,Yothap IO,0.456,IPO 2010,0,0
D0045,2010-01-16,2010,M&A,Roche,Aermod AB,1.158,M&A 2010,0,0
D0053,2010-01-17,2010,Series_B,Polaris Partners,Tavyot OS,0.643,Series_B 2010,0,0
D0046,2010-01-17,2010,Crossover,GV (Google Ventures),Repyot RX,0.348,Crossover 2010,0,0
D0032,2010-01-18,2010,M&A,Sanofi,Quoxen BIO,0.247,M&A 2010,0,0
D0049,2010-01-23,2010,VC,ARCH Venture Partners,Jasquo RX,0.096,VC 2010,0,0
D0028,2010-02-03,2010,M&A,Roche,Repquo BIO,0.046,M&A 2010,0,0
D0042,2010-02-09,2010,IPO,Public markets,Quorep OS,0.232,IPO 2010,0,0
D0040,2010-02-09,2010,VC,Versant Ventures,Neusyn GX,0.078,VC 2010,0,0
D0052,2010-02-14,2010,M&A,Amgen,Probio BIO,0.174,M&A 2010,0,0
D0062,2010-02-16,2010,Series_C,Sofinnova Investments,Quomod OS,0.12,Series_C 2010,0,0
D0029,2010-02-23,2010,Crossover,F-Prime Capital,Reptav X,0.026,Crossover 2010,0,0
D0030,2010-02-25,2010,M&A,GSK,Lumquo BIO,0.506,M&A 2010,0,0
D0058,2010-03-10,2010,IPO,Public markets,Quoxen AB,0.463,IPO 2010,0,0
D0060,2010-04-06,2010,VC,GV (Google Ventures),Repjas GX,1.037,VC 2010,0,0
D0037,2010-04-08,2010,M&A,BMS,Celkym Tx,3.473,M&A 2010,0,0
D0056,2010-04-14,2010,Series_C,Flagship Pioneering,Uniden IO,0.081,Series_C 2010,0,0
D0043,2010-04-18,2010,VC,Atlas Venture,Biotav AB,0.154,VC 2010,0,0
D0050,2010-05-12,2010,VC,Bain Capital Life Sciences,Biozeo IO,0.729,VC 2010,0,0
D0038,2010-05-19,2010,Crossover,OrbiMed,Immpro Tx,0.166,Crossover 2010,0,0
D0047,2010-05-19,2010,M&A,J&J,Neumod Tx,3.141,M&A 2010,0,0
D0031,2010-05-23,2010,Series_B,OrbiMed,Jasjas Therapeutics,0.105,Series_B 2010,0,0
D0054,2010-05-24,2010,VC,Versant Ventures,Modpro OS,0.086,VC 2010,0,0
D0061,2010-07-01,2010,Crossover,Versant Ventures,Jasrep Therapeutics,0.107,Crossover 2010,0,0
D0059,2010-07-03,2010,VC,Atlas Venture,Dentav X,0.106,VC 2010,0,0
D0035,2010-07-08,2010,Series_C,Polaris Partners,Lumtav ON,0.213,Series_C 2010,0,0
D0039,2010-07-20,2010,VC,Sofinnova Investments,Oncvec AB,0.064,VC 2010,0,0
D0044,2010-08-05,2010,M&A,J&J,Tavjas ON,0.358,M&A 2010,0,0
D0055,2010-09-10,2010,VC,ARCH Venture Partners,Xenzeo AB,0.081,VC 2010,0,0
D0034,2010-09-16,2010,M&A,AbbVie,Xentav X,0.764,M&A 2010,0,0
D0051,2010-10-23,2010,Series_B,Bain Capital Life Sciences,Unisyn AB,0.076,Series_B 2010,0,0
D0048,2010-11-08,2010,Series_B,a16z Bio,Xenrep AB,0.018,Series_B 2010,0,0
D0057,2010-11-12,2010,VC,Third Rock Ventures,Denuni Therapeutics,0.375,VC 2010,0,0
D0033,2010-11-15,2010,Series_C,Third Rock Ventures,Lumtav ON,0.036,Series_C 2010,0,0
D0102,2011-01-02,2011,IPO,Public markets,Celimm IO,0.962,IPO 2011,0,0
D0065,2011-01-03,2011,IPO,Public markets,Yotzeo IO,0.177,IPO 2011,0,0
D0068,2011-01-26,2011,Series_B,Polaris Partners,Lumrep Therapeutics,0.14,Series_B 2011,0,0
D0101,2011-02-19,2011,VC,OrbiMed,Kymimm BIO,0.534,VC 2011,0,0
D0073,2011-03-01,2011,Series_B,a16z Bio,Synaer Tx,0.037,Series_B 2011,0,0
D0096,2011-03-04,2011,VC,Bain Capital Life Sciences,Epikym BIO,0.158,VC 2011,0,0
D0078,2011-03-07,2011,Series_B,F-Prime Capital,Immaer OS,0.163,Series_B 2011,0,0
D0085,2011-03-07,2011,Series_B,a16z Bio,Quozeo Therapeutics,0.629,Series_B 2011,0,0
D0063,2011-03-08,2011,VC,GV (Google Ventures),Unikym IO,0.849,VC 2011,0,0
D0084,2011-03-10,2011,M&A,Sanofi,Immrep Therapeutics,19.866,M&A 2011,1,0
D0107,2011-03-12,2011,IPO,Public markets,Celkym X,0.068,IPO 2011,0,0
D0092,2011-03-23,2011,VC,RA Capital,Unisyn BIO,0.191,VC 2011,0,0
D0070,2011-04-16,2011,Series_B,a16z Bio,Oncxen IO,0.407,Series_B 2011,0,0
D0103,2011-04-16,2011,Series_C,Versant Ventures,Aerpro AB,0.21,Series_C 2011,0,0
D0106,2011-04-21,2011,VC,ARCH Venture Partners,Repvec Therapeutics,0.161,VC 2011,0,0
D0104,2011-04-22,2011,VC,RA Capital,Neuzeo X,0.267,VC 2011,0,0
D0083,2011-05-27,2011,VC,OrbiMed,Tavlum X,0.202,VC 2011,0,0
D0099,2011-06-01,2011,IPO,Public markets,Onczeo OS,0.428,IPO 2011,0,0
D0105,2011-06-07,2011,Series_C,RA Capital,Vecepi AB,0.222,Series_C 2011,0,0
D0088,2011-06-10,2011,Series_B,ARCH Venture Partners,Gengen BIO,0.064,Series_B 2011,0,0
D0077,2011-06-17,2011,Crossover,F-Prime Capital,Modrep X,0.263,Crossover 2011,0,0
D0079,2011-06-24,2011,Series_B,Flagship Pioneering,Lumyot BIO,0.113,Series_B 2011,0,0
D0100,2011-07-10,2011,IPO,Public markets,Oncmod OS,0.993,IPO 2011,0,0
D0097,2011-07-11,2011,IPO,Public markets,Jaszeo IO,0.066,IPO 2011,0,0
D0064,2011-07-18,2011,Series_B,OrbiMed,Oncneu Therapeutics,0.085,Series_B 2011,0,0
D0090,2011-07-20,2011,Series_B,OrbiMed,Repgen OS,0.128,Series_B 2011,0,0
D0071,2011-07-21,2011,IPO,Public markets,Modimm GX,0.778,IPO 2011,0,0
D0095,2011-07-23,2011,VC,Bain Capital Life Sciences,Neujas AB,0.478,VC 2011,0,0
D0093,2011-07-24,2011,Series_B,a16z Bio,Zeosyn Therapeutics,0.183,Series_B 2011,0,0
D0081,2011-09-08,2011,VC,Bain Capital Life Sciences,Denzeo Tx,0.048,VC 2011,0,0
D0072,2011-09-25,2011,Series_B,Sofinnova Investments,Oncrep GX,0.012,Series_B 2011,0,0
D0098,2011-10-07,2011,Series_B,Third Rock Ventures,Biorep BIO,0.055,Series_B 2011,0,0
D0066,2011-10-10,2011,Series_B,Flagship Pioneering,Vecjas ON,0.173,Series_B 2011,0,0
D0094,2011-10-12,2011,VC,OrbiMed,Vecmod Therapeutics,0.251,VC 2011,0,0
D0069,2011-10-19,2011,M&A,AbbVie,Immepi BIO,0.8,M&A 2011,0,0
D0076,2011-10-26,2011,Series_C,Flagship Pioneering,Proxen AB,0.424,Series_C 2011,0,0
D0089,2011-11-11,2011,M&A,Novartis,Neuxen BIO,0.08,M&A 2011,0,0
D0091,2011-11-13,2011,M&A,BMS,Xentav AB,18.096,M&A 2011,1,0
D0082,2011-11-18,2011,Series_B,Flagship Pioneering,Aeronc Tx,0.134,Series_B 2011,0,0
D0075,2011-11-23,2011,M&A,Gilead,Genkym AB,0.078,M&A 2011,0,0
D0080,2011-12-09,2011,M&A,Amgen,Denuni AB,1.186,M&A 2011,0,0
D0086,2011-12-11,2011,Series_C,Third Rock Ventures,Protav BIO,0.449,Series_C 2011,0,0
D0087,2011-12-20,2011,IPO,Public markets,Unipro OS,0.379,IPO 2011,0,0
D0074,2011-12-23,2011,Series_C,Polaris Partners,Zeoxen GX,0.213,Series_C 2011,0,0
D0067,2011-12-27,2011,M&A,Novartis,Onconc AB,0.571,M&A 2011,0,0
D0121,2012-01-03,2012,Series_B,RA Capital,Uniimm ON,0.049,Series_B 2012,0,0
D0155,2012-01-03,2012,M&A,J&J,Bioyot RX,0.504,M&A 2012,0,0
D0108,2012-01-15,2012,VC,Sofinnova Investments,Immhap Tx,0.061,VC 2012,0,0
D0133,2012-01-16,2012,VC,F-Prime Capital,Immpro RX,0.279,VC 2012,0,0
D0151,2012-01-17,2012,VC,F-Prime Capital,Biolum ON,0.106,VC 2012,0,0
D0130,2012-01-21,2012,Series_B,OrbiMed,Uniyot RX,0.005,Series_B 2012,0,0
D0136,2012-01-22,2012,IPO,Public markets,Lumzeo GX,0.227,IPO 2012,0,0
D0150,2012-02-09,2012,VC,Bain Capital Life Sciences,Epilum OS,0.486,VC 2012,0,0
D0118,2012-02-18,2012,M&A,AstraZeneca,Genonc BIO,1.457,M&A 2012,0,0
D0157,2012-02-26,2012,Crossover,ARCH Venture Partners,Lumhap GX,0.311,Crossover 2012,0,0
D0141,2012-03-05,2012,Series_B,Bain Capital Life Sciences,Denkym GX,0.119,Series_B 2012,0,0
D0147,2012-03-07,2012,IPO,Public markets,Unilum X,0.233,IPO 2012,0,0
D0120,2012-03-09,2012,M&A,Sanofi,Xenmod IO,0.628,M&A 2012,0,0
D0144,2012-03-10,2012,VC,RA Capital,Yottav RX,0.214,VC 2012,0,0
D0131,2012-03-11,2012,VC,F-Prime Capital,Modlum GX,0.254,VC 2012,0,0
D0135,2012-03-27,2012,VC,GV (Google Ventures),Uniyot Tx,0.233,VC 2012,0,0
D0146,2012-03-27,2012,IPO,Public markets,Repaer RX,1.585,IPO 2012,0,0
D0129,2012-04-07,2012,Crossover,Sofinnova Investments,Prozeo BIO,0.1,Crossover 2012,0,0
D0137,2012-04-17,2012,VC,Polaris Partners,Repyot RX,0.079,VC 2012,0,0
D0148,2012-04-17,2012,Series_B,Third Rock Ventures,Neuepi GX,0.672,Series_B 2012,0,0
D0142,2012-05-03,2012,VC,Polaris Partners,Xenmod IO,0.037,VC 2012,0,0
D0152,2012-05-12,2012,Series_B,Bain Capital Life Sciences,Lumcel RX,0.492,Series_B 2012,0,0
D0113,2012-05-14,2012,VC,a16z Bio,Unikym GX,0.103,VC 2012,0,0
D0154,2012-05-17,2012,Series_C,a16z Bio,Biovec OS,0.395,Series_C 2012,0,0
D0143,2012-05-17,2012,Series_C,a16z Bio,Xenmod ON,0.085,Series_C 2012,0,0
D0145,2012-05-17,2012,VC,RA Capital,Moduni OS,0.057,VC 2012,0,0
D0116,2012-05-22,2012,Series_B,F-Prime Capital,Lumsyn Therapeutics,0.519,Series_B 2012,0,0
D0111,2012-05-24,2012,Crossover,Versant Ventures,Oncepi BIO,0.652,Crossover 2012,0,0
D0109,2012-06-04,2012,IPO,Public markets,Hapimm RX,0.202,IPO 2012,0,0
D0110,2012-06-26,2012,VC,OrbiMed,Xenkym OS,0.026,VC 2012,0,0
D0115,2012-07-08,2012,IPO,Public markets,Yotbio Therapeutics,0.176,IPO 2012,0,0
D0127,2012-07-27,2012,VC,ARCH Venture Partners,Immimm GX,0.067,VC 2012,0,0
D0134,2012-08-03,2012,VC,Polaris Partners,Celsyn X,0.082,VC 2012,0,0
D0112,2012-08-13,2012,M&A,Pfizer,Hapvec BIO,0.032,M&A 2012,0,0
D0125,2012-08-16,2012,Series_C,Versant Ventures,Epicel Tx,0.121,Series_C 2012,0,0
D0153,2012-09-09,2012,IPO,Public markets,Lumjas Therapeutics,0.446,IPO 2012,0,0
D0126,2012-10-04,2012,VC,Bain Capital Life Sciences,Genuni RX,0.026,VC 2012,0,0
D0119,2012-10-07,2012,VC,F-Prime Capital,Onconc Therapeutics,1.117,VC 2012,0,0
D0156,2012-10-15,2012,Crossover,ARCH Venture Partners,Jaslum RX,0.138,Crossover 2012,0,0
D0128,2012-11-04,2012,Series_B,Third Rock Ventures,Jaslum GX,0.166,Series_B 2012,0,0
